                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4817,                0.65745,                0.96569,                0.81778,                0.81749,                0.79459,                0.27212,                 2.3621,                0.95631,                 1.2995,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.4841,                0.66486,                0.97895,                0.79849,                0.84809,                0.79625,                0.30881,                 2.2786,                0.89661,                 1.2854,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.4924,                0.66549,                0.96472,                0.80824,                0.82842,                0.79875,                0.28979,                 2.3596,                0.90167,                 1.3061,               0.009307,               0.009307,               0.009307
                     37,                 1.5061,                0.67336,                0.96907,                0.78379,                0.81615,                0.77229,                0.30304,                 2.2762,                0.87913,                 1.3077,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.4944,                0.66799,                0.96196,                0.80268,                0.83279,                0.80659,                0.30736,                 2.2529,                0.88735,                 1.2795,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.4738,                0.66959,                0.96634,                0.79329,                0.81093,                 0.7725,                0.28265,                  2.303,                0.93842,                 1.2866,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.4756,                0.66197,                0.96526,                0.79629,                0.82842,                0.77274,                0.29642,                 2.2822,                0.90908,                 1.2898,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4924,                0.67357,                0.97551,                0.79063,                0.83388,                0.78268,                0.30907,                 2.2473,                   0.89,                 1.2834,               0.009208,               0.009208,               0.009208
                     42,                 1.4619,                0.66184,                0.96561,                0.79896,                0.82955,                0.78404,                0.29703,                 2.2929,                0.92487,                  1.288,              0.0091882,              0.0091882,              0.0091882
                     43,                   1.47,                0.66382,                0.96908,                0.80667,                 0.8026,                0.77435,                 0.2845,                 2.3595,                0.92768,                 1.3046,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.4575,                0.65225,                0.96268,                0.78951,                0.83624,                0.78975,                0.29451,                  2.297,                0.91498,                   1.28,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.4678,                0.65769,                0.95368,                0.80183,                0.82732,                0.79568,                0.31365,                 2.2408,                0.89426,                 1.2882,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.4211,                0.64724,                0.95419,                0.78281,                0.81858,                0.77976,                0.30466,                 2.2565,                0.89462,                 1.2974,               0.009109,               0.009109,               0.009109
                     47,                 1.4319,                0.65375,                   0.95,                0.78457,                0.83184,                0.78701,                0.29554,                 2.2558,                  0.929,                 1.2738,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.4653,                0.65792,                0.95512,                0.77871,                0.81093,                0.75931,                 0.2737,                   2.32,                0.95295,                 1.2917,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4314,                0.64132,                0.95047,                0.80927,                0.83388,                0.78944,                0.29737,                  2.286,                0.91464,                  1.289,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4146,                0.63538,                0.95268,                0.80529,                0.81421,                 0.7793,                0.30062,                 2.2861,                0.90851,                 1.3023,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.4103,                0.63002,                 0.9551,                0.80399,                0.83379,                0.80114,                0.31178,                 2.2716,                0.88954,                 1.2897,                0.00901,                0.00901,                0.00901
